display  D   display_settings.c:506  _al_score_display_settings       [   0.17479] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.17481] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17483] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17484] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17486] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17487] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17489] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.17491] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17493] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.17494] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17496] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17498] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17500] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17501] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17503] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.17505] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17507] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.17508] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17510] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17512] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17513] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17515] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17517] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.17518] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17520] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.17522] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17524] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17525] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17527] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17529] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17531] Score is : 598
display  D   display_settings.c:191  debug_display_settings           [   0.17533] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.17534] Score is : 593
display  D   display_settings.c:191  debug_display_settings           [   0.17536] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17538] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17539] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.17541] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.17543] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
